Name,Price,Release Date,SIM Support,Phone Dimensions,Phone Weight,Operating System,Screen Size,Screen Resolution,Screen Type,Screen Protection,Internal Memory,RAM,Card Slot,Processor,GPU,Type,Front Camera,Front Flash Light,Front Video Recording,Back Flash Light,Back Camera,Back Video Recording,Bluetooth,3G,4G/LTE,5G,Radio,WiFi,NFC
Realme6,"Rs.36,500",2019 August,Dual SIM (Nano-SIM dual stand-by),162.1 x 74.8 x 8.9 mm,191 g,Android 10 OS,6.5 inches,1080 x 2400 Pixels (~405 PPI)  ,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 3+,128GB,4GB or 8GB,microSDXC (dedicated slot),Octa-core (2 x 2.05 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55)  ,Mali-G76 MC4  ,Non-removable Li-Po 5000 mAh battery,16 MP,No,1080p@30fps,Yes,64 MP + 8 MP + 2 MP + 2 MP ,1080p@30/60/120fps gyro-EIS,Yes,Yes,Yes,FM radio,Yes,No,
Realme6Pro,"Rs.48,699",2019 August,Dual SIM (Nano-SIM dual stand-by),6.18 x 2.92 x 0.35 in,184 g,Android 9.0 (Pie) planned upgrade to Android 10.0; ColorOS 6,6.6 Inches,1080 x 2400 Pixels (~399 PPI)  ,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 5  ,128GB,8GB,Yes,Octa-core (2 x 2.3 GHz Kryo 465 Gold + 6 x 1.8 GHz Kryo 465 Silver)  ,Adreno 618  ,(Li-Po Non removable) 4300 mAh  ,16 MP,No,1080p@30fps,Yes,64MP + 12MP + 8MP + 2MP,Geo-tagging Phase detection HDR Panorama Video (2160p@30fps 1080p@30/60/120fps gyro-EIS)  ,Yes,Yes,Yes,FM radio,Yes,No,
SamsungGalaxyA10S,"Rs.15,899",2019 August,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM dual stand-by),6.18 x 2.98 x 0.31 inches,168 g,Android 9.0 (Pie),6.2 inches,720 x 1520 pixels,PLS TFT Capacitive touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 5,32GB,2GB,Yes,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,Non-removable Li-Po 4000 mAh battery,8 MP,No,1080p@30fps,Yes,13 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
SamsungGalaxyNote10Plus,"Rs.189,999",2019 August,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM dual stand-by),6.39 x 3.04 x 0.31 inches,196 g,Android 9.0 (Pie) upgradable to Android 10.0; One UI 2,6.8 inches,1440 x 3040 pixels,Dynamic AMOLED capacitive touchscreen 16M colors,Corning Gorilla Glass 6,256GB512GB ,12GB,microSDXC (uses shared SIM slot) - dual SIM model only,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.4 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,Mali-G76 MP12 - EMEA/LATAMAdreno 640 - USA/China,Non-removable Li-Ion 4300 mAh battery,10 MP,No,2160p@30fps,Yes,12 MP + 12 MP + 16 MP + 0.3 MP,2160p@30/60fps 1080p@30/60/240fps 720p@960fps HDR10+ dual-video rec. stereo sound rec. gyro-EIS & OIS,Yes,Yes,Yes,FM radio (USA & Canada only),Yes,Yes,
VivoY90,"Rs.15,499",2019 July,Dual SIM (Nano-SIM dual stand-by),6.11 x 2.96 x 0.33 inches,163.5 g,Android 8.1 (Oreo); Funtouch 4.5,6.22 inches,720 x 1520 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch ,Corning Glass ,16GB32GB ,2GB ,microSDXC (dedicated slot),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,Non-removable Li-Po 4030 mAh battery,5 MP,No,720p,Yes,8 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,Yes (market/region dependent),
Nokia105(2019),"Rs.2,650",2019 July,Dual SIM (Mini-SIM dual stand-by),4.69 x 1.94 x 0.57 inches,73 g,Nokia Series 30+;,1.77 inches,120 x 160 pixels,TFT 65K colors,No,4MB,4MB,No,No,No,Removable Li-Ion 800 mAh battery,No,No,0 MP,No,No,0 MP,Yes,No,No,FM radio,Yes,No,
VivoY15,"Rs.25,999",2019 May,Dual SIM (Nano-SIM dual stand-by),6.28 x 3.02 x 0.35 inches,190.5 g,Android 9.0 (Pie); Funtouch 9,6.35 inches,720 x 1544 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch ,Corning Gorilla Glass ,64GB,4GB,microSDXC (dedicated slot),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,Non-removable Li-Po 5000 mAh battery,16 MP,No,1080p@30fps,Yes,16 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,Yes (market dependent),
TecnoCamoni4,"Rs.18,199",2019 April,Dual SIM (Nano-SIM dual stand-by),6.16 x 2.99 x 0.22 in,150 g,Android 9 (Pie),6.2 inches,720 x 1500 pixels,IPS LCD capacitive touchscreen 16M colors,NEG,32 GB,3 GB RAM,microSD up to 256 GB,Quad-core 2.0 GHz,PowerVR GE8320PowerVR GE8100,Non-removable Li-Ion 3400 mAh battery,16 MP,Yes,1080p@30fps,Yes,13 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
VivoY91C,"Rs.17,499",2019 March,Dual SIM (Nano-SIM dual stand-by),6.11 x 2.96 x 0.33 in,163.5 g,Android 8.1 (Oreo); Funtouch 4.5,6.22 inches,720 x 1520 pixels,IPS LCD capacitive touchscreen 16M colors,32GB,2GB,microSD up to 256 GB (dedicated slot),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,Non-removable Li-Po 4030 mAh battery,8 MP,No,Yes,13 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,,,,
SamsungGalaxyS10Plus,"Rs.164,999",2019 February,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM dual stand-by),6.20 x 2.92 x 0.31 in,175 g,Android 9.0 (Pie); One UI,6.4 inches,1440 x 3040 pixels,Dynamic AMOLED capacitive touchscreen 16M colors,Corning Gorilla Glass 6,128GB or 512GB ,8GB,microSD up to 1 TB (uses shared SIM slot) - dual SIM model only,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,Mali-G76 MP12 - EMEA/LATAMAdreno 640 - USA/China,Non-removable Li-Ion 4100 mAh battery,10 MP + 8 MP,No,2160p@30fps 1080p@30fps,Yes,12 MP + 16 MP + 12 MP,2160p@60fps (no OIS/EIS) 2160p@30fps 1080p@30/60/240fps 720p@960fps HDR10+ dual-video rec. stereo sound rec. gyro-EIS & OIS,Yes,Yes,Yes,FM radio (USA & Canada only),Yes,Yes,
vivoV15Pro,"Rs.56,499",2019 February,Dual SIM (Nano-SIM dual stand-by),6.19 x 2.94 x 0.32 in,185 g,Android 9.0 (Pie); Funtouch 9,6.39 inches,1080 x 2316 pixels,Super AMOLED capacitive touchscreen 16M colors,128 GB,6/8 GB RAM,microSD up to 256 GB,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,Non-removable Li-Po 3700 mAh battery,32 MP,No,1080p@30fps,Yes,48 MP,2160p@30fps 1080p@30fps,Yes,Yes,Yes,Yes,Yes (market dependent),,,
VivoY95,"Rs.32,000",2018 November,Dual SIM (Nano-SIM dual stand-by),6.11 x 2.96 x 0.33 in,163.5 g,Android 8.1 (Oreo),6.22 inches,720 x 1520 pixels,IPS LCD capacitive touchscreen 16M colors,64 GB,4 GB RAM,microSD up to 256 GB,Octa-core (2x1.95 GHz Cortex-A53 & 6x1.45 GHz Cortex A53),Adreno 505,Non-removable Li-Po 4030 mAh battery,20 MP,No,1080p@30fps,Yes,13 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,,,
VivoY91D,"Rs.15,499",2018 November,Dual SIM (Nano-SIM dual stand-by),155.11×75.09×8.28 mm,163.5 g,Android 8.1 (Oreo) Funtouch 4.5,6.22 inches,720 x 1520 pixels,IPS LCD capacitive touchscreen 16M colors,No,32GB,2GB,Yes,Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53),Adreno 505,Non-removable Li-Po 4030 mAh battery,5 MP,No,1080p@30fps,Yes,13 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
VivoY93,"Rs.22,499",2018 November,Dual SIM (Nano-SIM dual stand-by),6.11 x 2.96 x 0.33 inches,163.5 g,Android 8.1 (Oreo); Funtouch 4.5,6.2 inches,720 x 1520 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch ,Corning Glass ,64GB,4GB,microSDXC (dedicated slot),Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53),Adreno 505,Non-removable Li-Po 4030 mAh battery,8 MP,No,1080p@30fps,Yes,13 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,Yes (market/region dependent),
Nokia106(2018),"Rs.2,800",2018 November,Dual SIM (Mini-SIM dual stand-by),4.38 x 1.95 x 0.57 inches,70.2 g,No,1.8 inches,120 x 160 pixels,TFT 65K colors,Corning Glass ,4MB,4MB,No,No,No,Removable Li-Ion 800 mAh battery,No,No,No,No,No,No,Yes,No,No,FM radio,Yes,No,
VivoV11,"Rs.44,000",2018 September,Dual SIM (Nano-SIM dual stand-by),157.9 x 75 x 7.9mm  ,156 g,Android 8.1 (Oreo),6.3 inches,1080 x 2340 pixels,Super AMOLED capacitive touchscreen 16M colors,No,128 GB,4 GB,Yes,Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),Adreno 512,Non-removable Li-Po 3315 mAh battery,25 MP f/2.0,No,1080p@30fps,Yes,16 MP + 5 MP ,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
Nokia150,"Rs.4,899",2016 December,Single SIM (Mini-SIM) or Dual SIM (Mini-SIM dual stand-by),4.65 x 1.98 x 0.53 inches,81 g,No,2.4 inches,240 x 320 pixels,TFT 65K colors,No,No,No,microSDHC (dedicated slot),No,No,Removable Li-Ion 1020 mAh battery (Dual-SIM),VGA,No,No,Yes,VGA,No,Yes,No,LTE,FM radio,Yes,No,
AppleiPhone6sPlus,"Rs.39,300",2015 September,Nano-SIM,158.2 x 77.9 x 7.3 mm,192 g,iOS 9 upgradable to iOS 11.4.1,5.5 inches,1080 x 1920 pixels,LED-backlit IPS LCD capacitive touchscreen 16M colors,Ion-strengthened glass oleophobic coating,16/32/64/128 GB,2 GB,No,Dual-core 1.84 GHz Twister,PowerVR GT7600 (six-core graphics),Non-removable Li-Ion 2750 mAh battery (10.45 Wh),5 MP,No,1080p@30fps,Yes,12 MP,2160p@30fps 1080p@60fps 1080p@120fps 720p@240fps,Yes,Yes,Yes,No,Yes,Yes (Apple Pay only),
Nokia130,"Rs.3,799",2014 August,Mini-SIM,4.17 x 1.79 x 0.55 inches,68.6 g,No,1.8 inches,128 x 160 pixels,TFT 65K colors,Corning Gorilla Glass ,4MB,4MB,microSDHC (dedicated slot),No,,Removable Li-Ion 1020 mAh battery (BL-5C),No,No,No,No,VGA,Yes,Yes,No,No,FM radio,Yes,No,
VivoV17Pro,"Rs.63,399",Exp. announcement 2019 September 20,Dual SIM (Nano-SIM dual stand-by),159 x 74.7 x 9.8 mm,201.8 g ,Android 9.0 (Pie); Funtouch 9,6.44 inches,1080 x 2400 pixels,Super AMOLED capacitive touchscreen 16M colors,Corning Gorilla Glass 6,128GB,8GB ,microSD up to 256 GB (dedicated slot),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,Non-removable Li-Po 4100 mAh battery,32 MP + 8 MP,Yes,1080p@30fps,Yes,48 MP + 8 MP + 13 MP + 2 MP,4K@30fps 1080p@30fps,Yes,Yes,Yes,FM radio,Yes,Yes,
SamsungGalaxyA01,"Rs.15,999",22-01-2020,Dual SIM (Nano-SIM dual stand-by),5.76 x 2.79 x 0.33 in,168 g,Android 10.0; One UI 2,5.7 inches,720 x 1560 pixels,Capacitive touchscreen 16M colors,Corning Gorilla Glass ,16GB,2GB,microSD up to 512 GB (dedicated slot),Octa-core (4x1.95 GHz & 4x1.45 GHz),No,Non-removable Li-Ion 3000 mAh battery,5 MP,No,No,Yes,13 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
ItelVision1,"Rs.11,999",17th February 2020,Dual SIM (Nano-SIM dual stand-by),155.30 x 73.50 x 8.50,169 g,Android™ 9 Pie,6.09 inches,720x1560 pixels,IPS LCD capacitive touchscreen 16M colors,No,32GB,2GB,MicroSD Card (support up to 128),1.6GHz Octa Core Processor,No,Non-removable Li-Po 4000 mAh battery,5 MP,No,1080p@30fps,Yes,8 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
OppoA11k,"Rs.17,999",2020-06-01,Dual SIM (Nano-SIM dual stand-by),155.9 x 75.5 x 8.3 mm ,165 g,Android 9.0 (Pie) ColorOS 6.1,6.22 inches,720 x 1520 pixels,IPS LCD capacitive touchscreen 16M colors,Corning Gorilla Glass 3,32GB,2GB,Yes,Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,Non-removable Li-Po 4230 mAh battery,5 MP f/2.4 1/5,Yes,1080p@30fps,Yes,Dual 13 MP f/2.2 1/3.1,2160p@30fps,Yes,Yes,Yes,Yes,Yes,No  ,
Nokia150(2020),"Rs.4,999",2020-05-29,Dual SIM (Mini-SIM dual stand-by),132 x 50.5 x 15 mm,90.5 g,No,2.4 inches,240 x 320 pixels,TFT 65K colors,No,4MB Built-in  ,No,Yes,No,No,Removable Li-Ion 1020 mAh battery,No,No,No,Yes,VGA  ,Yes,Yes,No,No,No,Yes,No,No
ItelMagic2,"Rs.2,299",30-06-20,Dual SIM (dual standby),139 x 58.8 x 11.9 mm,No,Featured OS,2.4 Inch,240 x 320 Pixels,TFT non-touch screen 265 A color,No,8 Mb,8 Mb,Yes,No,No,1200 MAh Lithium Polymer removable,No,No,No,Yes,1.3 Megapixel,VGA,Yes,No,No,Yes,No,No,
QMobileE4iClassic,"Rs.2,150",02-07-2020,Dual-Sim Dual Stand By,,,No,2.4 Inches  ,320 x 240 pixels ,QVGA Display,No,16 MB,16 MB,Yes,No,No,Removable 2500mAh Battery,No,No,No,Yes,VGA Camera,Yes,Yes,No,No,FM radio,No,No,
VivoY1s,"Rs.14,999",20-09-2020,Dual Sim Dual Standby (Nano-SIM)  ,135.11 x 75.09 x 8.28mm  ,161 g ,Android 10 OS,6.2 Inches,720 x 1520 Pixels ,IPS LCD Capacitive Touchscreen 16M Colors Multitouch ,No,32 GB,2 GB,Yes,2.4 Ghz Octa Core  ,,(Li-Po Non removable) 4030 mAh  ,5 MP f/1.8  ,No,1080p@30fps,Yes,13 MP f/2.2,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No  ,
HuaweiY9A,"Rs.43,999",12-09-2020,Dual Sim Dual Standby (Nano-SIM)  ,163.5 x 76.5 x 9 mm,197 g,Android 10 EMUI 10.1 ,6.63 inches ,1080 x 2400 pixels,IPS LCD capacitive touchscreen 16M colors,No,128 GB,8 GB,Yes,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,(Li-Po Non removable) 4200 mAh  ,16 MP f/2.2,Yes,1080p@30fps,Yes,64 MP + 8 MP + 2 MP + 2 MP,4K@30fps 1080p@30fps,Yes,Yes,Yes,No,Yes,No  ,
InfinixZero8i,"Rs.30,300",08-10-2020,Dual Sim Dual Standby (Nano-SIM)  ,168.74 x 76.08 x 9.07 mm  ,205 g  ,Android v10,6.6 inches,1080 x 2460 Pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass  ,128 GB,8 GB,Yes,Octa-Core (2 x 2.05 GHz A76 + 6 x 2.0GHz A55) ,Mali-G76 MC4  ,(Li-Po Non removable) 4500 mAh  ,16 MP + 8 MP  ,No,1080p@30fps,Yes,48 MP + 8 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No  ,
itelVision1Pro,"Rs.12,099",29-11-2020,Dual SIM (Nano-SIM dual stand-by),,,Android 10 OS  ,6.5 inches,720 x 1600 pixels,IPS LCD capacitive touchscreen 16M colors,No,32 GB,2 GB,Yes,octa core 1.6 Ghz,IMG8322,Li-Po 4000 mAh non-removable,8 MP,No,1080p@30fps,Yes,13 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
itelMuzik410,"Rs.1,750",10-10-2020,Dual Sim Dual Standby ,,,Featured OS,2.4 inches,240 x 320 pixels,TFT,No,4 MB,4 MB,Yes,No,No,1500mAh Battery,No,No,No,Yes,VGA,Yes,Yes,No,No,FM radio,No,No,
itelPower410,"Rs.1,950",10-10-2020,Dual Sim Dual Standby ,,,Featured OS,2.4 inches,240 x 320 pixels,TFT,No,4 MB,4 MB,Yes,No,No,5000 mAh Battery,No,No,No,No,VGA,Yes,Yes,No,No,No,No,No  ,
itelValue110,"Rs.1,450",10-10-2020,Dual Sim Dual Standby ,,,Featured OS,4.5 inches,240 x 320 Pixels,TFT,No,4 MB,4 MB,Yes,No,No,1000mAh Battery,No,No,No,Yes,VGA,Yes,Yes,No,No,No,No,No,No
itelA23Pro,"Rs.7,300",01-12-2020,Dual SIM (Nano-SIM dual stand-by),,,Android 10 (Go),5.0 inches,854 x 480 pixels,FWVGA Display Touchscreen Multitouch ,No,8 GB,1 GB,Yes,Unisoc SC9832e,ARM Mali-T820 , 2400mAh Li-ion Removable,0.3 MP,No,720p@30fps,Yes,2 MP,720p@30fps,Yes,Yes,No,No,FM radio ,Yes,No  
SamsungGalaxyS10Lite,"Rs.107,999",2019,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM dual stand-by),162.5 x 75.6 x 8.1 mm,186 g,Android 9.0 (Pie); One UI,6.7 inches,1080 x 2400 pixels,Dynamic AMOLED capacitive touchscreen 16M colors,Corning Gorilla Glass 6,128GB,6GB or 8GB,Yes,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,Mali-G76 MP12 - EMEA/LATAMAdreno 640 - USA/China,Non-removable Li-Ion 4500 mAh battery,32 MP,No,2160p@30fps 1080p@30fps,Yes,48 MP + 12 MP + 5 MP ,2160p@60fps (no OIS/EIS) 2160p@30fps 1080p@30/60/240fps 720p@960fps HDR10+ dual-video rec. stereo sound rec. gyro-EIS & OIS,Yes,Yes,Yes,FM radio (USA & Canada only),Yes,Yes,
SamsungGalaxyA31,"Rs.34,399",21-02-2020,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM dual stand-by),6.24 x 2.94 x 0.30 in,185 g,Android 9.0 (Pie),6.4 inches,1080 x 2340 pixels,Super AMOLED capacitive touchscreen 16M colors,Corning Gorilla Glass 3,64GB,4 GB RAM,microSD Card (supports up to 512GB)  ,Octa-core (2 x 2.0 GHz + 6 x 1.7 GHz)  Helio P65 SoC  ,Mali-G71 MP2,Non-removable Li-Po 5000 mAh battery,20 MP,Yes,1080p@30fps,Yes,48 MP + 8 MP + 5 MP + 5 MP,1080p@30fps 2160p@30fps,Yes,Yes,Yes,FM radio,Yes,Yes,
SamsungGalaxyS21Plus,"Rs.169,499",05-02-2021,Hybrid Dual SIM (Nano-SIM dual stand-by),161.4 x 75.6 x 7.8 mm,202 g,Android 11 One UI 3.1,6.7 inches,1080 x 2400 pixels,Dynamic AMOLED 2X capacitive touchscreen 16M colors,Corning Gorilla Glass Victus,256 GB,8 GB,No,Exynos 2100 (5 nm) - International  Octa-core (2x2.73 GHz Mongoose M5 & 2x2.60 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA,Mali-G77 MP11 - GlobalAdreno 650 - USA,Non-removable Li-Po 4800 mAh battery,10 MP f/2.2,No,2160p@30/60fps 1080p@30fps,Yes,64 MP + 12 MP + 12 MP,4320p@24fps 2160p@30/60fps 1080p@30/60/240fps 720p@960fps HDR10+ dual-video rec. stereo sound rec. gyro-EIS & OIS,Yes,Yes,Yes,FM radio ,Yes,Yes,
QMobileHot5,"Rs.12,599",2020-05-1,Dual SIM (Nano-SIM dual stand-by),,,Android™ 9 Pie,6.3 inches,720 x 1280 pixels,IPS LCD capacitive touchscreen 16M colors Multitouch Yes, 2.5D glass,32GB ,3GB,Yes,Octa-core 2.0 GHz Cortex-A53,No,Non-removable Li-Ion 3000 mAh,13 MP,Yes, 1080p@30fps,Yes, 13MP f/2.2,1080p@30fps,Yes,HSDPA 850 / 900 / 1900 / 2100,LTE,Yes,Wi-Fi 802.11 b/g/n hotspot,No,
Alcatel1S(2020),"Rs.14,999",2020-01-01,Hybrid Dual SIM (Nano-SIM dual stand-by),158.7 x 74.6 x 8.5 mm,165 g,Android 10,6.22 inches,720 x 1520 pixels,IPS LCD capacitive touchscreen 16M colors,No,32GB,3GB,Yes,Octa-core 1.8 GHz Cortex-A53,PowerVR GE8320,Non-removable Li-Po 4000 mAh battery,5 MP f/2.2,No,1080p@30fps,Yes,13 MP f/1.8,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No  ,
